# os.name = Windows 10
# os.version = 10.0
# number extendedKeyCode keyChar keyCode keyLocation modifiersEx paramString
42	90	122	90	1	0	KEY_PRESSED,keyCode=90,keyText=Z,keyChar='z',keyLocation=KEY_LOCATION_STANDARD,rawCode=90,primaryLevelUnicode=122,scancode=44,extendedKeyCode=0x5a
43	88	120	88	1	0	KEY_PRESSED,keyCode=88,keyText=X,keyChar='x',keyLocation=KEY_LOCATION_STANDARD,rawCode=88,primaryLevelUnicode=120,scancode=45,extendedKeyCode=0x58
44	67	99	67	1	0	KEY_PRESSED,keyCode=67,keyText=C,keyChar='c',keyLocation=KEY_LOCATION_STANDARD,rawCode=67,primaryLevelUnicode=99,scancode=46,extendedKeyCode=0x43
45	86	118	86	1	0	KEY_PRESSED,keyCode=86,keyText=V,keyChar='v',keyLocation=KEY_LOCATION_STANDARD,rawCode=86,primaryLevelUnicode=118,scancode=47,extendedKeyCode=0x56
46	66	98	66	1	0	KEY_PRESSED,keyCode=66,keyText=B,keyChar='b',keyLocation=KEY_LOCATION_STANDARD,rawCode=66,primaryLevelUnicode=98,scancode=48,extendedKeyCode=0x42
47	78	110	78	1	0	KEY_PRESSED,keyCode=78,keyText=N,keyChar='n',keyLocation=KEY_LOCATION_STANDARD,rawCode=78,primaryLevelUnicode=110,scancode=49,extendedKeyCode=0x4e
48	77	109	77	1	0	KEY_PRESSED,keyCode=77,keyText=M,keyChar='m',keyLocation=KEY_LOCATION_STANDARD,rawCode=77,primaryLevelUnicode=109,scancode=50,extendedKeyCode=0x4d
49	44	44	44	1	0	KEY_PRESSED,keyCode=44,keyText=カンマ,keyChar=',',keyLocation=KEY_LOCATION_STANDARD,rawCode=188,primaryLevelUnicode=44,scancode=51,extendedKeyCode=0x2c
50	46	46	46	1	0	KEY_PRESSED,keyCode=46,keyText=ピリオド,keyChar='.',keyLocation=KEY_LOCATION_STANDARD,rawCode=190,primaryLevelUnicode=46,scancode=52,extendedKeyCode=0x2e
51	47	47	47	1	0	KEY_PRESSED,keyCode=47,keyText=スラッシュ,keyChar='/',keyLocation=KEY_LOCATION_STANDARD,rawCode=191,primaryLevelUnicode=47,scancode=53,extendedKeyCode=0x2f
52	92	92	92	1	0	KEY_PRESSED,keyCode=92,keyText=バックスラッシュ,keyChar='\',keyLocation=KEY_LOCATION_STANDARD,rawCode=226,primaryLevelUnicode=92,scancode=115,extendedKeyCode=0x5c
53	32	32	32	1	0	KEY_PRESSED,keyCode=32,keyText=スペース,keyChar=' ',keyLocation=KEY_LOCATION_STANDARD,rawCode=32,primaryLevelUnicode=32,scancode=57,extendedKeyCode=0x20
54	36	65535	36	1	0	KEY_PRESSED,keyCode=36,keyText=Home,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=36,primaryLevelUnicode=0,scancode=71,extendedKeyCode=0x24
55	127	127	127	1	0	KEY_PRESSED,keyCode=127,keyText=Delete,keyChar=Delete,keyLocation=KEY_LOCATION_STANDARD,rawCode=46,primaryLevelUnicode=0,scancode=83,extendedKeyCode=0x7f
56	33	65535	33	1	0	KEY_PRESSED,keyCode=33,keyText=Page Up,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=33,primaryLevelUnicode=0,scancode=73,extendedKeyCode=0x21
57	34	65535	34	1	0	KEY_PRESSED,keyCode=34,keyText=Page Down,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=34,primaryLevelUnicode=0,scancode=81,extendedKeyCode=0x22
58	35	65535	35	1	0	KEY_PRESSED,keyCode=35,keyText=End,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=35,primaryLevelUnicode=0,scancode=79,extendedKeyCode=0x23
59	37	65535	37	1	0	KEY_PRESSED,keyCode=37,keyText=左,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=37,primaryLevelUnicode=0,scancode=75,extendedKeyCode=0x25
60	38	65535	38	1	0	KEY_PRESSED,keyCode=38,keyText=上,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=38,primaryLevelUnicode=0,scancode=72,extendedKeyCode=0x26
61	39	65535	39	1	0	KEY_PRESSED,keyCode=39,keyText=右,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=39,primaryLevelUnicode=0,scancode=77,extendedKeyCode=0x27
62	40	65535	40	1	0	KEY_PRESSED,keyCode=40,keyText=下,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_STANDARD,rawCode=40,primaryLevelUnicode=0,scancode=80,extendedKeyCode=0x28
63	144	65535	144	4	0	KEY_PRESSED,keyCode=144,keyText=Num Lock,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_NUMPAD,rawCode=144,primaryLevelUnicode=0,scancode=69,extendedKeyCode=0x90
64	111	47	111	4	0	KEY_PRESSED,keyCode=111,keyText=NumPad /,keyChar='/',keyLocation=KEY_LOCATION_NUMPAD,rawCode=111,primaryLevelUnicode=47,scancode=53,extendedKeyCode=0x6f
65	106	42	106	4	0	KEY_PRESSED,keyCode=106,keyText=NumPad *,keyChar='*',keyLocation=KEY_LOCATION_NUMPAD,rawCode=106,primaryLevelUnicode=42,scancode=55,extendedKeyCode=0x6a
66	109	45	109	4	0	KEY_PRESSED,keyCode=109,keyText=NumPad -,keyChar='-',keyLocation=KEY_LOCATION_NUMPAD,rawCode=109,primaryLevelUnicode=45,scancode=74,extendedKeyCode=0x6d
67	36	65535	36	4	0	KEY_PRESSED,keyCode=36,keyText=Home,keyChar=未定義 keyChar,keyLocation=KEY_LOCATION_NUMPAD,rawCode=36,primaryLevelUnicode=0,scancode=71,extendedKeyCode=0x24
